INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,TA013S17,13.39954,-17.80648,57974.534933,30.0,o,18.50,29.98,00.01
00001,TA013S17,13.39118,-17.78608,57974.543642,30.0,o,18.53,30.02,00.01
00002,TA018S12,18.37086,-12.81670,57974.545174,30.0,o,18.59,59.60,00.01
00003,TA018S17,18.61028,-17.81803,57974.547216,30.0,o,18.56,84.34,00.05
00004,TA022S07,23.24232,-7.81633,57974.551314,30.0,o,18.65,113.50,00.07
00005,TA013S17,13.42170,-17.82572,57974.552324,30.0,o,18.54,113.50,00.07
00006,TA023S12,23.51147,-12.81652,57974.553337,30.0,o,18.62,138.75,00.14
00007,TA018S12,18.36267,-12.79529,57974.553846,30.0,o,18.61,138.81,00.14
00008,TA018S17,18.60214,-17.79666,57974.555898,30.0,o,18.59,138.81,00.14
00009,TA023S17,23.82125,-17.82775,57974.557431,30.0,o,18.60,163.56,00.25
00010,TA022S07,23.23340,-7.79501,57974.560000,30.0,o,18.70,164.08,00.25
00011,TA013S17,13.43215,-17.76519,57974.561035,30.0,o,18.55,164.08,00.25
00012,TA026S02,26.71469,-2.84607,57974.561542,30.0,o,18.77,193.18,00.25
00013,TA023S12,23.50295,-12.79573,57974.562045,30.0,o,18.67,193.18,00.25
00014,TA018S12,18.39319,-12.83426,57974.562556,30.0,o,18.64,193.18,00.25
00015,TA028S17,29.04158,-17.83803,57974.563569,30.0,o,18.66,220.33,00.30
00016,TA018S17,18.63283,-17.83617,57974.564592,30.0,o,18.59,220.56,00.30
00017,TA028S12,28.66248,-12.82665,57974.565620,30.0,o,18.68,245.86,00.36
00018,TA023S17,23.81287,-17.80679,57974.566127,30.0,o,18.63,245.86,00.36
00019,TA027S07,28.30362,-7.81565,57974.567662,30.0,o,18.75,269.39,00.39
00020,TA022S07,23.26463,-7.83444,57974.568680,30.0,o,18.72,269.39,00.39
00021,TA026S02,26.70574,-2.82451,57974.570765,30.0,o,18.79,269.39,00.39
00022,TA023S12,23.53406,-12.83544,57974.571271,30.0,o,18.68,269.39,00.39
00023,TA018S12,18.40373,-12.77387,57974.572237,30.0,o,18.63,269.43,00.39
00024,TA028S17,29.02258,-17.81714,57974.573251,30.0,o,18.70,269.45,00.39
00025,TA018S17,18.64316,-17.77524,57974.574274,30.0,o,18.61,269.45,00.39
00026,TA033S17,34.25246,-17.84944,57974.574784,30.0,o,18.69,296.69,00.39
00027,TA028S12,28.65434,-12.80684,57974.575290,30.0,o,18.75,296.69,00.39
00028,TA023S17,23.84391,-17.84644,57974.575804,30.0,o,18.68,297.07,00.39
00029,TA031S02,31.71606,-2.84657,57974.576823,30.0,o,18.81,323.38,00.39
00030,TA027S07,28.29539,-7.79534,57974.577323,30.0,o,18.78,323.38,00.39
00031,TA022S07,23.27536,-7.77346,57974.578339,30.0,o,18.74,323.38,00.39
