INDEX,EXPID,RA,DEC,MJD,EXPTIME,FILTER,LIM-MAG,CUM-AREA,CUM-LIKELIHOOD
00000,RINGS.V3.skycell.1533.047,128.42206,9.79804,57282.620805,60.0,i,19.72,00.16,00.00
00001,RINGS.V3.skycell.1533.047,128.42206,9.79804,57282.620805,60.0,i,19.78,00.16,00.00
00002,RINGS.V3.skycell.1533.037,128.42331,9.39743,57282.620805,60.0,i,19.77,00.35,00.00
00003,RINGS.V3.skycell.1533.037,128.42331,9.39743,57282.620805,60.0,i,19.86,00.35,00.00
00004,RINGS.V3.skycell.1533.027,128.42456,8.99688,57282.620805,60.0,i,19.84,00.52,00.00
00005,RINGS.V3.skycell.1533.027,128.42456,8.99688,57282.620805,60.0,i,20.00,00.52,00.00
00006,RINGS.V3.skycell.1533.017,128.42581,8.59642,57282.620805,60.0,i,19.64,00.68,00.00
00007,RINGS.V3.skycell.1533.017,128.42581,8.59642,57282.620805,60.0,i,19.72,00.68,00.00
00008,RINGS.V3.skycell.1444.096,128.82735,7.80119,57282.620805,60.0,i,19.51,00.84,00.00
00009,RINGS.V3.skycell.1444.096,128.82735,7.80119,57282.620805,60.0,i,19.60,00.84,00.00
00010,RINGS.V3.skycell.1533.056,128.82771,10.19968,57282.620805,60.0,i,19.93,01.00,00.00
00011,RINGS.V3.skycell.1533.056,128.82771,10.19968,57282.620805,60.0,i,19.95,01.00,00.00
00012,RINGS.V3.skycell.1533.046,128.82846,9.79901,57282.620805,60.0,i,19.94,01.17,00.00
00013,RINGS.V3.skycell.1533.046,128.82846,9.79901,57282.620805,60.0,i,19.97,01.17,00.00
00014,RINGS.V3.skycell.1533.036,128.82921,9.39835,57282.620805,60.0,i,19.92,01.36,00.00
00015,RINGS.V3.skycell.1533.036,128.82921,9.39835,57282.620805,60.0,i,19.94,01.36,00.00
00016,RINGS.V3.skycell.1533.026,128.82996,8.99776,57282.620805,60.0,i,19.92,01.52,00.00
00017,RINGS.V3.skycell.1533.026,128.82996,8.99776,57282.620805,60.0,i,19.95,01.52,00.00
00018,RINGS.V3.skycell.1533.016,128.83071,8.59727,57282.620805,60.0,i,19.85,01.69,00.00
00019,RINGS.V3.skycell.1533.016,128.83071,8.59727,57282.620805,60.0,i,19.85,01.69,00.00
00020,RINGS.V3.skycell.1533.006,128.83145,8.19691,57282.620805,60.0,i,19.78,01.89,00.00
00021,RINGS.V3.skycell.1533.006,128.83145,8.19691,57282.620805,60.0,i,19.81,01.89,00.00
