# t[days] u g r i z y J H K
1.06000 -8.760 -10.540 -12.290 -13.910 -14.750 -14.578 -14.080 -12.780 -11.850 
1.19000 -8.350 -10.360 -12.230 -13.860 -14.770 -14.593 -14.080 -12.610 -11.670 
1.33000 -7.980 -10.150 -12.140 -13.810 -14.770 -14.596 -14.090 -12.370 -11.140 
1.50000 -7.460 -9.950 -12.040 -13.740 -14.750 -14.589 -14.120 -12.280 -10.680 
1.68000 -7.030 -9.660 -11.880 -13.650 -14.710 -14.572 -14.170 -12.470 -10.550 
1.88000 -6.500 -9.340 -11.710 -13.530 -14.650 -14.535 -14.200 -12.710 -10.870 
2.11000 -5.710 -9.050 -11.550 -13.410 -14.570 -14.486 -14.240 -12.980 -11.270 
2.37000 -5.160 -8.600 -11.300 -13.260 -14.450 -14.401 -14.260 -13.200 -11.660 
2.66000 -4.540 -8.060 -11.020 -13.080 -14.300 -14.300 -14.300 -13.430 -12.160 
2.99000 -3.190 -7.660 -10.750 -12.890 -14.140 -14.194 -14.350 -13.570 -12.570 
3.35000 -2.820 -7.020 -10.380 -12.580 -13.960 -14.065 -14.370 -13.640 -12.940 
3.76000 -2.640 -6.360 -9.900 -12.260 -13.760 -13.898 -14.300 -13.630 -13.210 
4.22000 -0.480 -5.530 -9.430 -11.870 -13.560 -13.719 -14.180 -13.570 -13.450 
4.73000 3.680 -4.830 -8.760 -11.360 -13.310 -13.484 -13.990 -13.480 -13.690 
5.31000 inf -3.810 -8.020 -10.790 -12.960 -13.167 -13.770 -13.420 -13.930 
5.96000 12.430 -2.810 -7.080 -10.210 -12.500 -12.761 -13.520 -13.340 -14.100 
6.68000 inf -1.520 -6.290 -9.590 -11.940 -12.260 -13.190 -13.260 -14.140 
7.50000 inf 0.090 -5.110 -8.990 -11.300 -11.676 -12.770 -13.110 -14.130 
8.41000 inf -1.500 -4.970 -8.320 -10.650 -11.057 -12.240 -12.890 -14.070 
9.44000 -0.610 -0.810 -4.010 -7.600 -9.960 -10.408 -11.710 -12.640 -14.000 
10.59000 inf 0.820 -4.550 -6.830 -9.220 -9.724 -11.190 -12.360 -13.900 
11.89000 inf 0.030 -4.250 -6.300 -8.460 -9.033 -10.700 -12.070 -13.770 
13.34000 inf -1.080 -4.610 -6.060 -7.750 -8.428 -10.400 -11.830 -13.660 
14.96000 inf -1.220 -4.350 -5.860 -7.320 -8.034 -10.110 -11.550 -13.500 
16.79000 inf 6.830 -4.420 -5.760 -7.060 -7.785 -9.890 -11.350 -13.320 
18.84000 inf 2.190 -4.280 -5.720 -6.930 -7.649 -9.740 -11.140 -13.180 
21.13000 inf -1.110 -4.280 -5.750 -6.800 -7.535 -9.670 -10.940 -13.090 
23.71000 inf 4.100 -4.220 -5.620 -6.670 -7.389 -9.480 -10.700 -12.950 
26.61000 inf 0.240 -4.570 -5.780 -6.670 -7.341 -9.290 -10.510 -12.790 
29.85000 inf 0.260 -4.820 -5.710 -6.490 -7.176 -9.170 -10.320 -12.670 
