# t[days] u g r i z y J H K
0.10 nan nan nan nan nan nan nan nan nan 
0.20 nan nan nan nan nan nan nan nan nan 
0.30 nan nan nan nan nan nan nan nan nan 
0.40 nan nan nan nan nan nan nan nan nan 
0.50 nan nan nan nan nan nan nan nan nan 
0.60 nan nan nan nan nan nan nan nan nan 
0.70 nan nan nan nan nan nan nan nan nan 
0.80 nan nan nan nan nan nan nan nan nan 
0.90 nan nan nan nan nan nan nan nan nan 
1.00 nan nan nan nan nan nan nan nan nan 
1.10 nan nan nan nan nan nan nan nan nan 
1.20 nan nan nan nan nan nan nan nan nan 
1.30 nan nan nan nan nan nan nan nan nan 
1.40 nan nan nan nan nan nan nan nan nan 
1.50 nan nan nan nan nan nan nan nan nan 
1.60 nan nan nan nan nan nan nan nan nan 
1.70 -6.365 -9.595 -11.780 -13.391 -14.552 -14.398 -13.950 -12.400 -10.491 
1.80 -6.014 -9.371 -11.625 -13.267 -14.452 -14.316 -13.921 -12.494 -10.636 
1.90 -5.704 -9.139 -11.473 -13.145 -14.353 -14.235 -13.893 -12.581 -10.770 
2.00 -5.382 -8.900 -11.318 -13.025 -14.255 -14.156 -13.870 -12.666 -10.904 
2.10 -5.050 -8.665 -11.158 -12.908 -14.157 -14.078 -13.849 -12.736 -11.048 
2.20 -4.728 -8.439 -10.999 -12.793 -14.060 -14.002 -13.833 -12.799 -11.190 
2.30 -4.369 -8.215 -10.842 -12.681 -13.964 -13.927 -13.819 -12.845 -11.316 
2.40 -3.975 -7.992 -10.688 -12.573 -13.871 -13.854 -13.805 -12.878 -11.430 
2.50 -3.573 -7.771 -10.541 -12.465 -13.783 -13.784 -13.790 -12.903 -11.540 
2.60 -3.246 -7.537 -10.396 -12.355 -13.700 -13.718 -13.770 -12.914 -11.642 
2.70 -2.956 -7.307 -10.254 -12.247 -13.622 -13.655 -13.750 -12.920 -11.735 
2.80 -2.680 -7.078 -10.113 -12.141 -13.545 -13.592 -13.728 -12.921 -11.827 
2.90 -2.417 -6.850 -9.972 -12.038 -13.473 -13.532 -13.702 -12.911 -11.917 
3.00 -2.189 -6.625 -9.830 -11.938 -13.406 -13.474 -13.672 -12.896 -12.010 
3.10 -1.925 -6.400 -9.688 -11.839 -13.343 -13.419 -13.642 -12.881 -12.102 
3.20 -1.560 -6.167 -9.549 -11.742 -13.285 -13.368 -13.608 -12.860 -12.187 
3.30 -0.962 -5.916 -9.409 -11.643 -13.229 -13.317 -13.571 -12.838 -12.271 
3.40 -0.233 -5.658 -9.269 -11.543 -13.175 -13.267 -13.534 -12.817 -12.357 
3.50 0.427 -5.406 -9.127 -11.443 -13.119 -13.216 -13.497 -12.795 -12.442 
3.60 1.009 -5.167 -8.976 -11.339 -13.061 -13.163 -13.457 -12.771 -12.526 
3.70 1.210 -4.931 -8.818 -11.231 -13.001 -13.107 -13.415 -12.748 -12.607 
3.80 1.178 -4.693 -8.658 -11.122 -12.940 -13.051 -13.373 -12.725 -12.689 
3.90 1.210 -4.455 -8.496 -11.013 -12.879 -12.995 -13.331 -12.704 -12.770 
4.00 1.373 -4.211 -8.326 -10.901 -12.812 -12.933 -13.285 -12.682 -12.843 
4.10 nan -3.968 -8.153 -10.785 -12.737 -12.865 -13.237 -12.663 -12.906 
4.20 nan -3.746 -7.981 -10.668 -12.658 -12.794 -13.189 -12.647 -12.964 
4.30 nan -3.523 -7.809 -10.552 -12.580 -12.724 -13.141 -12.632 -13.022 
4.40 nan -3.282 -7.640 -10.437 -12.499 -12.651 -13.092 -12.618 -13.077 
4.50 nan -3.028 -7.474 -10.321 -12.416 -12.576 -13.042 -12.607 -13.128 
4.60 nan -2.790 -7.309 -10.203 -12.326 -12.495 -12.987 -12.593 -13.166 
4.70 nan -2.565 -7.146 -10.086 -12.231 -12.410 -12.931 -12.577 -13.196 
4.80 nan -2.342 -6.982 -9.969 -12.138 -12.326 -12.874 -12.562 -13.227 
4.90 nan -2.138 -6.823 -9.855 -12.044 -12.243 -12.818 -12.548 -13.258 
