# t[days] u g r i z y J H K
0.47500 -5.981 -7.797 -9.398 -10.516 -11.098 -11.397 -11.459 -11.077 -11.310 
0.72500 -5.838 -8.043 -10.115 -11.554 -12.083 -12.775 -12.753 -12.225 -12.828 
0.97500 -4.922 -7.542 -9.955 -11.689 -12.318 -13.122 -13.144 -12.750 -13.332 
1.22500 -2.593 -7.375 -9.968 -11.749 -12.489 -13.135 -13.383 -13.085 -13.511 
1.47500 -2.037 -6.997 -9.757 -11.633 -12.440 -13.135 -13.595 -13.187 -13.521 
1.72500 -1.749 -7.111 -9.579 -11.561 -12.487 -12.982 -13.599 -13.249 -13.542 
1.97500 -2.881 -7.209 -9.554 -11.486 -12.366 -12.858 -13.582 -13.396 -13.345 
2.22500 -2.262 -6.761 -9.545 -11.296 -12.284 -12.780 -13.450 -13.358 -13.283 
2.47500 -2.743 -6.977 -9.438 -11.119 -12.177 -12.665 -13.262 -13.344 -13.254 
2.72500 -1.975 -6.925 -9.337 -11.010 -12.010 -12.505 -13.155 -13.254 -13.161 
2.97500 -1.008 -6.915 -9.227 -10.833 -11.901 -12.343 -12.928 -13.165 -13.119 
3.22500 -0.162 -6.862 -9.059 -10.702 -11.676 -12.123 -12.712 -13.093 -13.079 
3.47500 -0.980 -6.804 -9.074 -10.634 -11.555 -12.002 -12.483 -13.018 -13.130 
3.72500 -2.660 -6.680 -8.937 -10.435 -11.423 -11.901 -12.247 -12.881 -13.112 
3.97500 -2.322 -6.852 -8.934 -10.340 -11.242 -11.627 -11.995 -12.775 -13.120 
4.22500 -2.348 -6.869 -8.844 -10.243 -11.004 -11.404 -11.719 -12.612 -13.079 
4.47500 -1.092 -6.881 -8.813 -10.032 -10.846 -11.256 -11.348 -12.480 -13.107 
4.72500 -1.654 -6.715 -8.663 -9.975 -10.701 -11.001 -11.030 -12.321 -13.079 
4.97500 -0.392 -6.811 -8.679 -9.845 -10.562 -10.942 -10.813 -12.190 -13.054 
5.22500 -0.376 -6.663 -8.521 -9.792 -10.444 -10.629 -10.549 -12.045 -13.034 
5.47500 -0.514 -6.627 -8.481 -9.712 -10.229 -10.471 -10.183 -11.859 -13.007 
5.72500 -1.026 -6.710 -8.487 -9.614 -10.169 -10.287 -9.845 -11.730 -12.983 
5.97500 -1.037 -6.713 -8.509 -9.543 -9.996 -10.132 -9.602 -11.555 -12.878 
6.22500 -1.457 -6.609 -8.501 -9.464 -9.945 -10.017 -9.256 -11.484 -12.876 
6.47500 -0.100 -6.696 -8.360 -9.409 -9.788 -9.757 -8.966 -11.371 -12.797 
6.72500 -0.348 -6.532 -8.306 -9.304 -9.701 -9.726 -8.618 -11.217 -12.713 
6.97500 1.271 -6.658 -8.320 -9.237 -9.597 -9.737 -8.019 -11.160 -12.675 
7.22500 -0.683 -6.593 -8.284 -9.220 -9.528 -9.413 -7.987 -11.003 -12.611 
7.47500 -0.513 -6.529 -8.215 -9.147 -9.475 -9.297 -7.717 -10.855 -12.489 
7.72500 0.417 -6.616 -8.261 -9.143 -9.412 -9.273 -7.371 -10.844 -12.467 
