# t[days] g-band  r-band i-band  z-band  w-band
1.06000 -10.540 -12.290 -13.910 -14.750 -14.080 
1.19000 -10.360 -12.230 -13.860 -14.770 -14.080 
1.33000 -10.150 -12.140 -13.810 -14.770 -14.090 
1.50000 -9.950 -12.040 -13.740 -14.750 -14.120 
1.68000 -9.660 -11.880 -13.650 -14.710 -14.170 
1.88000 -9.340 -11.710 -13.530 -14.650 -14.200 
2.11000 -9.050 -11.550 -13.410 -14.570 -14.240 
2.37000 -8.600 -11.300 -13.260 -14.450 -14.260 
2.66000 -8.060 -11.020 -13.080 -14.300 -14.300 
2.99000 -7.660 -10.750 -12.890 -14.140 -14.350 
3.35000 -7.020 -10.380 -12.580 -13.960 -14.370 
3.76000 -6.360 -9.900 -12.260 -13.760 -14.300 
4.22000 -5.530 -9.430 -11.870 -13.560 -14.180 
4.73000 -4.830 -8.760 -11.360 -13.310 -13.990 
5.31000 -3.810 -8.020 -10.790 -12.960 -13.770 
5.96000 -2.810 -7.080 -10.210 -12.500 -13.520 
6.68000 -1.520 -6.290 -9.590 -11.940 -13.190 
7.50000 0.090 -5.110 -8.990 -11.300 -12.770 
8.41000 -1.500 -4.970 -8.320 -10.650 -12.240 
9.44000 -0.810 -4.010 -7.600 -9.960 -11.710 
10.59000 0.820 -4.550 -6.830 -9.220 -11.190 
11.89000 0.030 -4.250 -6.300 -8.460 -10.700 
13.34000 -1.080 -4.610 -6.060 -7.750 -10.400 
14.96000 -1.220 -4.350 -5.860 -7.320 -10.110 
16.79000 6.830 -4.420 -5.760 -7.060 -9.890 
18.84000 2.190 -4.280 -5.720 -6.930 -9.740 
21.13000 -1.110 -4.280 -5.750 -6.800 -9.670 
23.71000 4.100 -4.220 -5.620 -6.670 -9.480 
26.61000 0.240 -4.570 -5.780 -6.670 -9.290 
29.85000 0.260 -4.820 -5.710 -6.490 -9.170 
