# t[days] g-band r-band  i-band z-band
0.10 nan nan nan nan 
0.20 nan nan nan nan 
0.30 nan nan nan nan 
0.40 nan nan nan nan 
0.50 nan nan nan nan 
0.60 nan nan nan nan 
0.70 nan nan nan nan 
0.80 nan nan nan nan 
0.90 nan nan nan nan 
1.00 nan nan nan nan 
1.10 nan nan nan nan 
1.20 nan nan nan nan 
1.30 nan nan nan nan 
1.40 nan nan nan nan 
1.50 nan nan nan nan 
1.60 nan nan nan nan 
1.70 -11.813 -12.293 -12.763 -13.003 
1.80 -11.783 -12.302 -12.787 -13.059 
1.90 -11.725 -12.289 -12.791 -13.109 
2.00 -11.668 -12.276 -12.797 -13.160 
2.10 -11.580 -12.244 -12.791 -13.195 
2.20 -11.483 -12.207 -12.783 -13.225 
2.30 -11.375 -12.160 -12.770 -13.250 
2.40 -11.251 -12.101 -12.748 -13.267 
2.50 -11.127 -12.041 -12.726 -13.284 
2.60 -10.994 -11.965 -12.688 -13.288 
2.70 -10.861 -11.889 -12.651 -13.292 
2.80 -10.694 -11.771 -12.574 -13.258 
2.90 -10.514 -11.636 -12.481 -13.207 
3.00 -10.332 -11.503 -12.386 -13.154 
3.10 -10.148 -11.375 -12.285 -13.096 
3.20 -9.965 -11.247 -12.185 -13.039 
3.30 -9.784 -11.123 -12.082 -12.978 
3.40 -9.604 -10.999 -11.980 -12.918 
3.50 -9.437 -10.877 -11.881 -12.854 
3.60 -9.276 -10.755 -11.784 -12.788 
3.70 -9.118 -10.635 -11.690 -12.723 
3.80 -8.963 -10.518 -11.601 -12.658 
3.90 -8.809 -10.402 -11.514 -12.593 
4.00 -8.662 -10.292 -11.437 -12.528 
4.10 -8.516 -10.182 -11.362 -12.463 
4.20 -8.367 -10.073 -11.291 -12.404 
4.30 -8.218 -9.966 -11.223 -12.348 
4.40 -8.067 -9.861 -11.160 -12.297 
4.50 -7.911 -9.757 -11.104 -12.254 
4.60 -7.757 -9.654 -11.049 -12.212 
4.70 -7.607 -9.550 -10.992 -12.170 
4.80 -7.458 -9.446 -10.936 -12.129 
4.90 -7.326 -9.337 -10.872 -12.086 
5.00 -7.204 -9.225 -10.805 -12.043 
5.10 -7.082 -9.113 -10.738 -12.000 
5.20 -6.960 -9.002 -10.671 -11.958 
5.30 -6.839 -8.891 -10.606 -11.917 
5.40 -6.723 -8.800 -10.539 -11.867 
5.50 -6.606 -8.709 -10.472 -11.817 
5.60 -6.492 -8.625 -10.405 -11.766 
5.70 -6.378 -8.545 -10.339 -11.713 
5.80 -6.265 -8.465 -10.273 -11.660 
5.90 -6.153 -8.386 -10.207 -11.608 
6.00 -6.041 -8.307 -10.142 -11.557 
6.10 -5.962 -8.222 -10.071 -11.500 
6.20 -5.886 -8.137 -10.001 -11.443 
6.30 -5.814 -8.051 -9.930 -11.386 
6.40 -5.744 -7.965 -9.859 -11.329 
6.50 -5.675 -7.880 -9.789 -11.272 
6.60 -5.607 -7.795 -9.719 -11.215 
6.70 -5.538 -7.710 -9.649 -11.160 
6.80 -5.452 -7.634 -9.582 -11.101 
6.90 -5.365 -7.559 -9.515 -11.042 
7.00 -5.274 -7.486 -9.450 -10.983 
7.10 -5.180 -7.415 -9.384 -10.924 
7.20 -5.086 -7.344 -9.320 -10.865 
7.30 -4.992 -7.273 -9.255 -10.807 
7.40 -4.899 -7.203 -9.191 -10.749 
7.50 -4.803 -7.130 -9.127 -10.690 
7.60 -4.706 -7.056 -9.062 -10.632 
7.70 -4.600 -6.973 -8.997 -10.572 
7.80 -4.486 -6.883 -8.930 -10.511 
7.90 -4.372 -6.793 -8.864 -10.450 
8.00 -4.259 -6.704 -8.798 -10.390 
8.10 -4.146 -6.614 -8.732 -10.329 
8.20 -4.033 -6.525 -8.667 -10.269 
8.30 -3.920 -6.436 -8.602 -10.210 
8.40 -3.808 -6.344 -8.536 -10.148 
8.50 -3.695 -6.250 -8.468 -10.083 
8.60 -3.583 -6.153 -8.399 -10.016 
8.70 -3.471 -6.041 -8.322 -9.936 
8.80 -3.360 -5.930 -8.246 -9.856 
8.90 -3.248 -5.818 -8.170 -9.776 
9.00 -3.137 -5.707 -8.094 -9.696 
9.10 -3.026 -5.596 -8.018 -9.616 
9.20 -2.915 -5.485 -7.943 -9.537 
9.30 -2.804 -5.374 -7.867 -9.458 
9.40 -2.694 -5.264 -7.792 -9.379 
9.50 -2.584 -5.154 -7.717 -9.300 
9.60 -2.462 -5.046 -7.639 -9.221 
9.70 -2.337 -4.939 -7.560 -9.142 
9.80 -2.211 -4.833 -7.481 -9.063 
9.90 -2.082 -4.727 -7.401 -8.984 
10.00 -1.953 -4.622 -7.321 -8.905 
10.10 -1.825 -4.516 -7.241 -8.826 
10.20 -1.697 -4.411 -7.162 -8.747 
10.30 -1.569 -4.306 -7.083 -8.669 
10.40 -1.441 -4.202 -7.004 -8.591 
10.50 -1.313 -4.097 -6.925 -8.513 
10.60 -1.185 -3.992 -6.846 -8.435 
10.70 -1.039 -3.887 -6.765 -8.358 
10.80 -0.742 -3.773 -6.668 -8.288 
10.90 -0.446 -3.660 -6.571 -8.217 
11.00 -0.111 -3.544 -6.470 -8.149 
11.10 0.235 -3.428 -6.368 -8.081 
11.20 0.581 -3.312 -6.266 -8.014 
11.30 0.927 -3.197 -6.164 -7.946 
11.40 1.272 -3.081 -6.062 -7.879 
11.50 1.618 -2.965 -5.960 -7.812 
11.60 1.963 -2.850 -5.859 -7.744 
11.70 2.308 -2.735 -5.757 -7.678 
11.80 2.653 -2.620 -5.656 -7.611 
11.90 nan -2.510 -5.558 -7.543 
12.00 nan -2.407 -5.465 -7.475 
12.10 nan -2.308 -5.375 -7.406 
12.20 nan -2.254 -5.315 -7.329 
12.30 nan -2.200 -5.255 -7.252 
12.40 nan -2.147 -5.195 -7.175 
12.50 nan -2.093 -5.136 -7.099 
12.60 nan -2.040 -5.076 -7.022 
12.70 nan -1.987 -5.017 -6.946 
12.80 nan -1.934 -4.958 -6.870 
12.90 nan -1.881 -4.899 -6.794 
13.00 nan -1.828 -4.840 -6.718 
13.10 nan -1.775 -4.781 -6.642 
13.20 nan -1.723 -4.722 -6.567 
13.30 nan -1.670 -4.664 -6.491 
13.40 nan -1.618 -4.605 -6.415 
13.50 nan -1.566 -4.547 -6.340 
13.60 nan -1.567 -4.511 -6.279 
13.70 nan -1.567 -4.474 -6.217 
13.80 nan -1.572 -4.440 -6.157 
13.90 nan -1.578 -4.406 -6.097 
14.00 nan -1.584 -4.372 -6.037 
