# t[days] g-band r-band  i-band z-band
0.10 nan nan nan nan 
0.20 nan nan nan nan 
0.30 nan nan nan nan 
0.40 nan nan nan nan 
0.50 nan nan nan nan 
0.60 nan nan nan nan 
0.70 nan nan nan nan 
0.80 nan nan nan nan 
0.90 nan nan nan nan 
1.00 nan nan nan nan 
1.10 nan nan nan nan 
1.20 nan nan nan nan 
1.30 nan nan nan nan 
1.40 nan nan nan nan 
1.50 nan nan nan nan 
1.60 nan nan nan nan 
1.70 -8.873 -11.062 -12.749 -13.825 
1.80 -8.745 -10.987 -12.676 -13.791 
1.90 -8.601 -10.906 -12.603 -13.756 
2.00 -8.444 -10.818 -12.529 -13.720 
2.10 -8.274 -10.724 -12.453 -13.683 
2.20 -8.093 -10.625 -12.377 -13.645 
2.30 -7.902 -10.520 -12.300 -13.605 
2.40 -7.702 -10.409 -12.221 -13.564 
2.50 -7.495 -10.294 -12.142 -13.521 
2.60 -7.264 -10.157 -12.044 -13.460 
2.70 -7.003 -9.992 -11.921 -13.373 
2.80 -6.740 -9.824 -11.799 -13.286 
2.90 -6.475 -9.655 -11.677 -13.200 
3.00 -6.209 -9.483 -11.556 -13.113 
3.10 -5.942 -9.310 -11.435 -13.025 
3.20 -5.676 -9.135 -11.314 -12.938 
3.30 -5.412 -8.960 -11.193 -12.850 
3.40 -5.149 -8.783 -11.072 -12.762 
3.50 -4.889 -8.606 -10.952 -12.673 
3.60 -4.632 -8.428 -10.832 -12.584 
3.70 -4.378 -8.250 -10.712 -12.494 
3.80 -4.129 -8.072 -10.593 -12.404 
3.90 -3.884 -7.894 -10.473 -12.314 
4.00 -3.645 -7.717 -10.354 -12.223 
4.10 -3.410 -7.540 -10.235 -12.131 
4.20 -3.181 -7.365 -10.117 -12.039 
4.30 -2.958 -7.190 -9.999 -11.947 
4.40 -2.741 -7.017 -9.881 -11.854 
4.50 -2.530 -6.845 -9.763 -11.760 
4.60 -2.325 -6.675 -9.646 -11.667 
4.70 -2.126 -6.508 -9.529 -11.572 
4.80 -1.933 -6.342 -9.413 -11.478 
4.90 -1.746 -6.178 -9.298 -11.383 
5.00 -1.565 -6.017 -9.182 -11.287 
5.10 -1.389 -5.859 -9.068 -11.192 
5.20 -1.218 -5.703 -8.954 -11.096 
5.30 -1.053 -5.550 -8.840 -10.999 
5.40 -0.892 -5.400 -8.728 -10.903 
5.50 -0.735 -5.253 -8.616 -10.806 
5.60 -0.582 -5.110 -8.504 -10.709 
5.70 -0.432 -4.970 -8.394 -10.612 
5.80 -0.285 -4.833 -8.284 -10.514 
5.90 -0.139 -4.700 -8.175 -10.417 
6.00 0.005 -4.571 -8.067 -10.319 
6.10 0.149 -4.445 -7.960 -10.221 
6.20 0.293 -4.323 -7.854 -10.124 
6.30 0.439 -4.205 -7.748 -10.026 
6.40 0.587 -4.091 -7.644 -9.928 
6.50 0.739 -3.981 -7.541 -9.831 
6.60 0.894 -3.875 -7.439 -9.733 
6.70 1.055 -3.773 -7.338 -9.636 
6.80 1.223 -3.676 -7.238 -9.539 
6.90 nan -3.582 -7.140 -9.442 
7.00 nan -3.492 -7.042 -9.345 
7.10 nan -3.407 -6.946 -9.249 
7.20 nan -3.325 -6.851 -9.153 
7.30 nan -3.248 -6.758 -9.057 
7.40 nan -3.174 -6.665 -8.962 
7.50 nan -3.105 -6.575 -8.867 
7.60 nan -3.039 -6.485 -8.773 
7.70 nan -2.978 -6.397 -8.679 
7.80 nan -2.920 -6.311 -8.586 
7.90 nan -2.866 -6.226 -8.493 
8.00 nan -2.816 -6.142 -8.401 
8.10 nan -2.769 -6.060 -8.310 
8.20 nan -2.726 -5.980 -8.219 
8.30 nan -2.687 -5.902 -8.130 
8.40 nan -2.650 -5.825 -8.041 
8.50 nan -2.617 -5.749 -7.953 
8.60 nan -2.587 -5.676 -7.866 
8.70 nan -2.560 -5.604 -7.779 
8.80 nan -2.535 -5.534 -7.694 
8.90 nan -2.514 -5.465 -7.610 
9.00 nan -2.494 -5.399 -7.527 
9.10 nan -2.477 -5.334 -7.445 
9.20 nan -2.462 -5.271 -7.365 
9.30 nan -2.449 -5.210 -7.285 
9.40 nan -2.438 -5.151 -7.207 
9.50 nan -2.428 -5.094 -7.130 
9.60 nan -2.420 -5.039 -7.054 
9.70 nan -2.412 -4.986 -6.980 
9.80 nan -2.406 -4.935 -6.907 
9.90 nan -2.400 -4.885 -6.836 
10.00 nan -2.394 -4.838 -6.766 
10.10 nan -2.389 -4.793 -6.698 
10.20 nan -2.383 -4.750 -6.632 
10.30 nan -2.377 -4.709 -6.567 
10.40 nan -2.370 -4.670 -6.504 
10.50 nan -2.362 -4.633 -6.443 
10.60 nan -2.353 -4.599 -6.383 
10.70 nan -2.343 -4.566 -6.325 
10.80 nan -2.330 -4.536 -6.270 
10.90 nan -2.315 -4.508 -6.216 
11.00 nan -2.298 -4.482 -6.164 
11.10 nan -2.277 -4.458 -6.114 
11.20 nan -2.254 -4.436 -6.067 
11.30 nan -2.226 -4.417 -6.021 
11.40 nan -2.195 -4.400 -5.978 
11.50 nan -2.159 -4.385 -5.937 
11.60 nan -2.119 -4.372 -5.898 
11.70 nan -2.073 -4.362 -5.862 
11.80 nan -2.022 -4.353 -5.828 
11.90 nan -1.965 -4.348 -5.796 
12.00 nan -1.901 -4.344 -5.767 
12.10 nan nan nan nan 
12.20 nan nan nan nan 
12.30 nan nan nan nan 
12.40 nan nan nan nan 
12.50 nan nan nan nan 
12.60 nan nan nan nan 
12.70 nan nan nan nan 
12.80 nan nan nan nan 
12.90 nan nan nan nan 
13.00 nan nan nan nan 
13.10 nan nan nan nan 
13.20 nan nan nan nan 
13.30 nan nan nan nan 
13.40 nan nan nan nan 
13.50 nan nan nan nan 
13.60 nan nan nan nan 
13.70 nan nan nan nan 
13.80 nan nan nan nan 
13.90 nan nan nan nan 
14.00 nan nan nan nan 
