# t[days] u g r i z y J H K
0.20202 170.566 611.270 nan nan nan nan nan nan nan 
0.40404 -11.975 -11.292 -12.137 -12.685 -12.960 -11.001 -11.561 -9.284 -10.099 
0.60606 -13.609 -13.626 -13.526 -13.706 -14.626 -14.321 -14.196 -13.417 -13.220 
0.80808 -14.439 -14.420 -14.696 -15.290 -15.371 -15.551 -15.429 -14.104 -14.988 
1.01010 -14.571 -14.594 -15.101 -15.337 -15.491 -15.782 -15.807 -15.181 -15.313 
1.21212 -14.687 -14.793 -15.252 -15.693 -15.831 -16.130 -15.843 -15.307 -14.718 
1.41414 -14.798 -14.720 -15.190 -15.564 -15.882 -16.025 -15.878 -15.406 -15.195 
1.61616 -14.500 -14.849 -15.063 -15.508 -15.701 -15.915 -15.755 -15.445 -15.201 
1.81818 -14.400 -14.793 -15.148 -15.633 -15.858 -16.039 -15.866 -15.573 -14.974 
2.02020 -14.453 -14.718 -15.213 -15.579 -15.887 -15.910 -15.840 -15.516 -15.087 
2.22222 -14.404 -14.818 -15.249 -15.574 -15.939 -16.166 -15.934 -15.687 -15.346 
2.42424 -14.474 -14.861 -15.306 -15.587 -15.914 -15.982 -15.962 -15.550 -15.151 
2.62626 -13.946 -14.667 -15.127 -15.561 -15.880 -15.963 -15.993 -15.703 -15.326 
2.82828 -13.715 -14.516 -15.017 -15.401 -15.711 -16.039 -15.835 -15.746 -15.405 
3.03030 -13.832 -14.640 -15.101 -15.508 -15.848 -16.006 -15.941 -15.760 -15.416 
3.23232 -13.580 -14.299 -15.080 -15.480 -15.806 -15.928 -15.930 -15.828 -15.475 
3.43434 -13.276 -14.257 -14.958 -15.325 -15.789 -16.084 -15.904 -15.650 -15.575 
3.63636 -13.452 -14.166 -14.818 -15.444 -15.796 -15.975 -15.938 -15.705 -15.418 
3.83838 -12.683 -14.076 -14.749 -15.314 -15.654 -15.941 -15.995 -15.772 -15.501 
4.04040 -12.411 -13.875 -14.740 -15.187 -15.671 -15.864 -15.917 -15.715 -15.509 
4.24242 -12.626 -13.790 -14.619 -15.206 -15.659 -15.838 -15.890 -15.806 -15.609 
4.44444 -12.030 -13.623 -14.557 -15.111 -15.513 -15.837 -15.834 -15.766 -15.547 
4.64646 -12.218 -13.402 -14.357 -15.004 -15.447 -15.757 -15.869 -15.751 -15.519 
4.84848 -11.801 -13.411 -14.301 -14.932 -15.396 -15.535 -15.770 -15.777 -15.675 
5.05051 -11.315 -13.137 -14.188 -14.878 -15.285 -15.589 -15.738 -15.746 -15.638 
5.25253 -11.352 -12.965 -14.065 -14.786 -15.274 -15.652 -15.693 -15.785 -15.551 
5.45455 -11.108 -12.822 -13.925 -14.810 -15.143 -15.567 -15.694 -15.645 -15.600 
5.65657 -10.732 -12.547 -13.881 -14.556 -15.179 -15.460 -15.586 -15.716 -15.417 
5.85859 -10.520 -12.421 -13.626 -14.596 -15.111 -15.347 -15.606 -15.688 -15.522 
6.06061 -9.730 -12.222 -13.637 -14.475 -14.947 -15.202 -15.512 -15.636 -15.494 
6.26263 -10.195 -12.193 -13.448 -14.395 -14.904 -15.200 -15.424 -15.558 -15.478 
6.46465 -9.648 -12.021 -13.398 -14.221 -14.780 -15.104 -15.357 -15.402 -15.497 
6.66667 -9.320 -11.858 -13.193 -14.092 -14.778 -15.087 -15.322 -15.452 -15.428 
6.86869 -8.812 -11.435 -13.083 -13.972 -14.683 -15.044 -15.300 -15.407 -15.370 
