# t[days] u g r i z y J H K
0.20202 -11.037 -9.432 -9.149 -9.450 -9.672 -9.209 -9.471 -8.080 -5.678 
0.40404 -12.492 -12.626 -13.387 -14.239 -14.459 -14.349 -13.835 -13.459 -12.685 
0.60606 -13.770 -13.867 -14.347 -14.803 -14.973 -15.063 -14.788 -14.100 -14.009 
0.80808 -13.655 -14.147 -14.691 -15.097 -15.331 -15.427 -15.094 -14.794 -14.257 
1.01010 -13.774 -14.254 -14.679 -15.192 -15.442 -15.551 -15.308 -14.830 -14.494 
1.21212 -13.640 -14.221 -14.824 -15.186 -15.541 -15.559 -15.334 -14.971 -14.613 
1.41414 -13.557 -14.152 -14.740 -15.139 -15.521 -15.618 -15.397 -15.100 -14.682 
1.61616 -13.050 -14.043 -14.628 -15.152 -15.474 -15.538 -15.303 -15.081 -14.741 
1.81818 -12.818 -13.881 -14.525 -15.104 -15.411 -15.447 -15.295 -15.013 -14.632 
2.02020 -12.352 -13.641 -14.413 -14.958 -15.341 -15.407 -15.279 -15.000 -14.584 
2.22222 -12.329 -13.547 -14.209 -14.867 -15.204 -15.312 -15.185 -15.007 -14.587 
2.42424 -11.818 -13.182 -14.100 -14.720 -15.033 -15.175 -15.113 -14.923 -14.636 
2.62626 -11.261 -12.796 -13.809 -14.477 -14.935 -14.999 -14.926 -14.860 -14.548 
2.82828 -10.918 -12.463 -13.645 -14.312 -14.747 -14.848 -14.904 -14.786 -14.505 
3.03030 -10.557 -12.271 -13.392 -14.162 -14.573 -14.730 -14.825 -14.661 -14.509 
3.23232 -9.994 -11.961 -13.273 -13.996 -14.419 -14.534 -14.659 -14.626 -14.432 
3.43434 -9.518 -11.643 -13.022 -13.825 -14.245 -14.381 -14.486 -14.563 -14.326 
3.63636 -9.176 -11.344 -12.750 -13.639 -14.074 -14.232 -14.382 -14.396 -14.314 
3.83838 -8.527 -10.938 -12.551 -13.431 -13.864 -13.996 -14.203 -14.285 -14.259 
4.04040 -8.322 -10.803 -12.302 -13.267 -13.747 -13.825 -14.058 -14.231 -14.109 
4.24242 -7.616 -10.533 -12.072 -12.962 -13.523 -13.686 -13.888 -14.094 -14.066 
4.44444 -7.393 -10.234 -11.720 -12.756 -13.294 -13.501 -13.799 -13.982 -13.922 
4.64646 -6.761 -9.804 -11.488 -12.549 -13.197 -13.386 -13.653 -13.829 -13.967 
4.84848 -6.151 -9.413 -11.383 -12.391 -12.981 -13.249 -13.528 -13.760 -13.832 
5.05051 -5.422 -9.216 -11.123 -12.225 -12.796 -13.084 -13.308 -13.621 -13.676 
5.25253 -5.124 -8.871 -10.791 -12.053 -12.622 -12.912 -13.291 -13.581 -13.633 
5.45455 -4.987 -8.689 -10.702 -11.834 -12.495 -12.796 -13.119 -13.448 -13.628 
5.65657 -5.608 -8.470 -10.505 -11.753 -12.392 -12.562 -13.013 -13.315 -13.438 
