# t[days] u g r i z y J H K
0.10 nan nan nan nan nan nan nan nan nan 
0.20 nan nan nan nan nan nan nan nan nan 
0.30 nan nan nan nan nan nan nan nan nan 
0.40 nan nan nan nan nan nan nan nan nan 
0.50 nan nan nan nan nan nan nan nan nan 
0.60 nan nan nan nan nan nan nan nan nan 
0.70 nan nan nan nan nan nan nan nan nan 
0.80 nan nan nan nan nan nan nan nan nan 
0.90 nan nan nan nan nan nan nan nan nan 
1.00 nan nan nan nan nan nan nan nan nan 
1.10 nan nan nan nan nan nan nan nan nan 
1.20 nan nan nan nan nan nan nan nan nan 
1.30 nan nan nan nan nan nan nan nan nan 
1.40 nan nan nan nan nan nan nan nan nan 
1.50 nan nan nan nan nan nan nan nan nan 
1.60 nan nan nan nan nan nan nan nan nan 
1.70 nan nan nan nan nan nan nan nan nan 
1.80 nan nan nan nan nan nan nan nan nan 
1.90 nan nan nan nan nan nan nan nan nan 
2.00 nan nan nan nan nan nan nan nan nan 
2.10 -12.432 -13.145 -13.595 -14.052 -14.268 -14.006 -13.246 -12.507 -11.731 
2.20 -12.306 -13.087 -13.566 -14.035 -14.275 -13.990 -13.163 -12.301 -11.524 
2.30 -12.183 -13.031 -13.540 -14.021 -14.284 -13.977 -13.083 -12.097 -11.319 
2.40 -12.038 -12.958 -13.500 -13.994 -14.290 -13.978 -13.071 -11.902 -11.024 
2.50 -11.888 -12.882 -13.459 -13.966 -14.298 -13.985 -13.078 -11.710 -10.708 
2.60 -11.741 -12.808 -13.419 -13.941 -14.307 -13.994 -13.087 -11.521 -10.393 
2.70 -11.568 -12.711 -13.365 -13.908 -14.304 -14.001 -13.120 -11.424 -10.156 
2.80 -11.388 -12.608 -13.309 -13.873 -14.300 -14.008 -13.162 -11.358 -9.946 
2.90 -11.210 -12.507 -13.253 -13.841 -14.297 -14.017 -13.206 -11.293 -9.736 
3.00 -11.029 -12.392 -13.187 -13.801 -14.287 -14.022 -13.251 -11.320 -9.654 
3.10 -10.849 -12.272 -13.116 -13.760 -14.276 -14.026 -13.298 -11.384 -9.621 
3.20 -10.670 -12.153 -13.047 -13.720 -14.266 -14.031 -13.347 -11.449 -9.590 
3.30 -10.507 -12.030 -12.970 -13.673 -14.250 -14.029 -13.386 -11.535 -9.629 
3.40 -10.353 -11.905 -12.889 -13.622 -14.231 -14.024 -13.422 -11.632 -9.701 
3.50 -10.200 -11.782 -12.810 -13.572 -14.213 -14.020 -13.458 -11.729 -9.774 
3.60 -10.042 -11.654 -12.720 -13.514 -14.188 -14.010 -13.493 -11.823 -9.853 
3.70 -9.882 -11.524 -12.626 -13.452 -14.159 -13.997 -13.527 -11.916 -9.937 
3.80 -9.723 -11.396 -12.532 -13.391 -14.130 -13.985 -13.562 -12.009 -10.021 
3.90 -9.576 -11.265 -12.441 -13.325 -14.098 -13.968 -13.590 -12.087 -10.106 
4.00 -9.437 -11.132 -12.351 -13.257 -14.063 -13.948 -13.615 -12.157 -10.192 
4.10 -9.298 -11.001 -12.262 -13.190 -14.028 -13.929 -13.640 -12.227 -10.279 
4.20 -9.163 -10.870 -12.175 -13.121 -13.992 -13.907 -13.662 -12.290 -10.365 
4.30 -9.031 -10.740 -12.088 -13.051 -13.955 -13.885 -13.682 -12.347 -10.450 
4.40 -8.899 -10.610 -12.003 -12.983 -13.918 -13.863 -13.703 -12.405 -10.536 
4.50 -8.760 -10.489 -11.917 -12.915 -13.878 -13.837 -13.718 -12.450 -10.610 
4.60 -8.615 -10.373 -11.832 -12.849 -13.836 -13.809 -13.729 -12.483 -10.675 
4.70 -8.470 -10.259 -11.748 -12.783 -13.795 -13.781 -13.741 -12.517 -10.741 
4.80 -8.328 -10.146 -11.665 -12.721 -13.754 -13.753 -13.749 -12.549 -10.802 
4.90 -8.187 -10.036 -11.583 -12.661 -13.713 -13.723 -13.755 -12.579 -10.859 
5.00 -8.047 -9.926 -11.503 -12.602 -13.672 -13.695 -13.761 -12.609 -10.916 
