# t[days] u g r i z y J H K
0.10 inf inf inf inf inf inf inf inf inf 
0.20 -16.905 -16.668 -16.374 -16.093 -15.868 -15.699 -15.265 -14.718 -14.214 
0.30 -16.803 -16.691 -16.470 -16.233 -16.033 -15.880 -15.477 -14.957 -14.470 
0.40 -16.788 -16.755 -16.580 -16.370 -16.187 -16.044 -15.661 -15.157 -14.680 
0.50 -16.710 -16.759 -16.633 -16.452 -16.285 -16.153 -15.789 -15.302 -14.836 
0.60 -16.589 -16.720 -16.643 -16.491 -16.342 -16.220 -15.876 -15.407 -14.951 
0.70 -16.433 -16.644 -16.613 -16.490 -16.357 -16.244 -15.920 -15.467 -15.021 
0.80 -16.250 -16.546 -16.566 -16.473 -16.358 -16.256 -15.953 -15.517 -15.083 
0.90 -16.047 -16.426 -16.496 -16.433 -16.336 -16.245 -15.962 -15.544 -15.120 
1.00 -15.819 -16.291 -16.417 -16.388 -16.311 -16.232 -15.972 -15.573 -15.162 
1.10 -15.589 -16.141 -16.316 -16.316 -16.256 -16.187 -15.948 -15.566 -15.165 
1.20 -15.337 -15.981 -16.211 -16.245 -16.204 -16.147 -15.931 -15.568 -15.179 
1.30 -15.059 -15.806 -16.100 -16.173 -16.154 -16.111 -15.922 -15.581 -15.206 
1.40 -14.792 -15.629 -15.977 -16.083 -16.085 -16.053 -15.887 -15.566 -15.203 
1.50 -14.524 -15.448 -15.849 -15.988 -16.009 -15.990 -15.846 -15.544 -15.193 
1.60 -14.228 -15.253 -15.717 -15.895 -15.939 -15.933 -15.817 -15.536 -15.199 
1.70 -13.927 -15.053 -15.580 -15.796 -15.863 -15.871 -15.782 -15.524 -15.200 
1.80 -13.588 -14.833 -15.434 -15.696 -15.789 -15.814 -15.757 -15.526 -15.219 
1.90 -13.241 -14.605 -15.280 -15.588 -15.709 -15.751 -15.727 -15.523 -15.232 
2.00 -12.888 -14.371 -15.121 -15.476 -15.624 -15.683 -15.692 -15.516 -15.243 
2.10 -12.528 -14.131 -14.956 -15.358 -15.535 -15.611 -15.653 -15.505 -15.249 
2.20 -12.163 -13.886 -14.787 -15.236 -15.441 -15.534 -15.611 -15.492 -15.253 
2.30 -11.794 -13.636 -14.613 -15.110 -15.343 -15.454 -15.565 -15.475 -15.254 
2.40 -11.421 -13.383 -14.436 -14.980 -15.243 -15.371 -15.517 -15.456 -15.253 
2.50 -11.044 -13.127 -14.255 -14.847 -15.138 -15.285 -15.466 -15.434 -15.249 
2.60 -10.665 -12.867 -14.071 -14.711 -15.032 -15.196 -15.412 -15.410 -15.243 
2.70 -10.284 -12.605 -13.885 -14.573 -14.922 -15.104 -15.356 -15.384 -15.236 
2.80 -9.900 -12.341 -13.696 -14.432 -14.810 -15.010 -15.297 -15.356 -15.226 
2.90 -9.514 -12.074 -13.505 -14.289 -14.696 -14.914 -15.237 -15.326 -15.215 
3.00 -9.126 -11.806 -13.312 -14.144 -14.580 -14.816 -15.175 -15.294 -15.203 
3.10 -8.737 -11.536 -13.117 -13.997 -14.462 -14.716 -15.111 -15.261 -15.189 
3.20 -8.347 -11.264 -12.920 -13.848 -14.342 -14.615 -15.046 -15.227 -15.173 
3.30 -7.955 -10.991 -12.722 -13.698 -14.221 -14.511 -14.979 -15.191 -15.157 
3.40 -7.563 -10.716 -12.523 -13.546 -14.098 -14.407 -14.910 -15.153 -15.139 
3.50 -7.169 -10.440 -12.322 -13.392 -13.974 -14.301 -14.840 -15.115 -15.120 
3.60 -6.775 -10.163 -12.119 -13.238 -13.848 -14.193 -14.769 -15.075 -15.100 
3.70 -6.379 -9.885 -11.916 -13.082 -13.721 -14.084 -14.697 -15.034 -15.079 
3.80 -5.984 -9.607 -11.712 -12.925 -13.593 -13.974 -14.623 -14.992 -15.056 
3.90 -5.587 -9.327 -11.506 -12.767 -13.464 -13.863 -14.549 -14.949 -15.033 
4.00 -5.190 -9.047 -11.300 -12.608 -13.334 -13.751 -14.473 -14.905 -15.009 
4.10 -4.793 -8.766 -11.093 -12.448 -13.203 -13.638 -14.396 -14.860 -14.984 
4.20 -4.395 -8.484 -10.885 -12.287 -13.071 -13.524 -14.319 -14.814 -14.959 
4.30 -3.997 -8.202 -10.676 -12.125 -12.938 -13.409 -14.240 -14.768 -14.932 
4.40 -3.599 -7.920 -10.467 -11.963 -12.805 -13.294 -14.161 -14.720 -14.905 
4.50 -3.200 -7.636 -10.258 -11.800 -12.670 -13.177 -14.081 -14.672 -14.877 
4.60 -2.802 -7.353 -10.047 -11.636 -12.535 -13.060 -14.000 -14.623 -14.848 
4.70 -2.403 -7.069 -9.836 -11.472 -12.400 -12.943 -13.919 -14.573 -14.819 
4.80 -2.004 -6.785 -9.625 -11.308 -12.263 -12.824 -13.836 -14.523 -14.789 
4.90 -1.605 -6.501 -9.414 -11.142 -12.127 -12.705 -13.754 -14.472 -14.759 
5.00 -1.206 -6.216 -9.201 -10.977 -11.989 -12.586 -13.670 -14.421 -14.727 
5.10 -0.807 -5.931 -8.989 -10.810 -11.851 -12.466 -13.586 -14.368 -14.696 
5.20 -0.409 -5.646 -8.776 -10.644 -11.713 -12.345 -13.502 -14.316 -14.664 
5.30 -0.010 -5.361 -8.563 -10.477 -11.574 -12.224 -13.417 -14.262 -14.631 
5.40 0.388 -5.076 -8.350 -10.310 -11.435 -12.103 -13.331 -14.209 -14.598 
5.50 0.787 -4.791 -8.137 -10.142 -11.296 -11.981 -13.245 -14.154 -14.564 
5.60 1.185 -4.506 -7.923 -9.974 -11.156 -11.858 -13.159 -14.100 -14.530 
5.70 1.583 -4.220 -7.709 -9.806 -11.016 -11.736 -13.072 -14.045 -14.495 
5.80 1.981 -3.935 -7.495 -9.638 -10.875 -11.613 -12.984 -13.989 -14.460 
5.90 2.378 -3.650 -7.281 -9.469 -10.735 -11.490 -12.897 -13.933 -14.425 
6.00 2.776 -3.364 -7.067 -9.300 -10.594 -11.366 -12.809 -13.877 -14.389 
6.10 3.173 -3.079 -6.853 -9.131 -10.452 -11.242 -12.720 -13.820 -14.353 
6.20 3.569 -2.794 -6.638 -8.962 -10.311 -11.118 -12.632 -13.763 -14.316 
6.30 3.966 -2.509 -6.424 -8.793 -10.169 -10.994 -12.543 -13.705 -14.279 
6.40 4.362 -2.224 -6.209 -8.623 -10.027 -10.869 -12.453 -13.647 -14.242 
6.50 4.758 -1.939 -5.995 -8.453 -9.885 -10.744 -12.364 -13.589 -14.204 
6.60 5.153 -1.654 -5.780 -8.284 -9.743 -10.619 -12.274 -13.531 -14.166 
6.70 5.548 -1.369 -5.565 -8.114 -9.600 -10.494 -12.184 -13.472 -14.128 
6.80 5.943 -1.084 -5.351 -7.944 -9.458 -10.369 -12.093 -13.413 -14.089 
6.90 6.338 -0.800 -5.136 -7.774 -9.315 -10.243 -12.003 -13.353 -14.050 
7.00 6.732 -0.515 -4.921 -7.604 -9.172 -10.118 -11.912 -13.294 -14.011 
7.10 7.126 -0.231 -4.707 -7.433 -9.029 -9.992 -11.821 -13.234 -13.972 
7.20 7.519 0.053 -4.492 -7.263 -8.886 -9.866 -11.730 -13.174 -13.932 
7.30 7.912 0.337 -4.277 -7.093 -8.743 -9.740 -11.638 -13.113 -13.892 
7.40 8.305 0.621 -4.063 -6.922 -8.600 -9.613 -11.546 -13.053 -13.852 
7.50 8.698 0.904 -3.848 -6.752 -8.456 -9.487 -11.455 -12.992 -13.811 
7.60 9.090 1.188 -3.634 -6.582 -8.313 -9.360 -11.363 -12.931 -13.771 
7.70 9.481 1.471 -3.420 -6.411 -8.169 -9.234 -11.271 -12.870 -13.730 
7.80 9.873 1.754 -3.205 -6.241 -8.026 -9.107 -11.178 -12.808 -13.689 
7.90 10.264 2.037 -2.991 -6.070 -7.882 -8.980 -11.086 -12.746 -13.647 
8.00 10.654 2.320 -2.777 -5.900 -7.738 -8.853 -10.993 -12.685 -13.606 
8.10 11.044 2.602 -2.562 -5.729 -7.595 -8.727 -10.900 -12.623 -13.564 
8.20 11.434 2.884 -2.348 -5.559 -7.451 -8.599 -10.808 -12.560 -13.522 
8.30 11.824 3.167 -2.134 -5.388 -7.307 -8.472 -10.715 -12.498 -13.480 
8.40 12.213 3.449 -1.920 -5.218 -7.163 -8.345 -10.622 -12.435 -13.437 
8.50 12.602 3.731 -1.706 -5.047 -7.019 -8.218 -10.528 -12.373 -13.395 
