# t[days] u g r i z y J H K
0.00000 nan nan nan nan nan nan nan nan nan 
0.00000 9.313 9.924 10.452 10.884 11.044 11.044 11.044 11.044 11.044 
0.00000 9.096 9.715 10.248 10.683 10.843 10.843 10.843 10.843 10.843 
0.00000 8.971 9.594 10.129 10.566 10.727 10.727 10.727 10.727 10.727 
0.00000 8.883 9.508 10.045 10.483 10.644 10.644 10.644 10.644 10.644 
0.00000 8.815 9.442 9.980 10.419 10.581 10.581 10.581 10.581 10.581 
0.00000 8.760 9.388 9.927 10.367 10.528 10.528 10.528 10.528 10.528 
0.00000 8.713 9.343 9.882 10.322 10.484 10.484 10.484 10.484 10.484 
0.00000 8.673 9.303 9.844 10.284 10.446 10.446 10.446 10.446 10.446 
0.00000 8.637 9.268 9.809 10.250 10.412 10.412 10.412 10.412 10.412 
0.00000 8.606 9.237 9.779 10.220 10.382 10.382 10.382 10.382 10.382 
0.00000 8.577 9.209 9.751 10.192 10.354 10.354 10.354 10.354 10.354 
0.00000 8.551 9.183 9.725 10.167 10.329 10.329 10.329 10.329 10.329 
0.00000 8.526 9.160 9.702 10.144 10.306 10.306 10.306 10.306 10.306 
0.00000 8.504 9.138 9.680 10.122 10.285 10.285 10.285 10.285 10.285 
0.00000 8.483 9.117 9.660 10.102 10.265 10.265 10.265 10.265 10.265 
0.00000 8.464 9.098 9.641 10.084 10.246 10.246 10.246 10.246 10.246 
0.00000 8.445 9.080 9.623 10.066 10.228 10.228 10.228 10.228 10.228 
0.00000 8.428 9.063 9.607 10.049 10.212 10.212 10.212 10.212 10.212 
0.00000 8.411 9.047 9.591 10.033 10.196 10.196 10.196 10.196 10.196 
0.00000 8.396 9.032 9.576 10.018 10.181 10.181 10.181 10.181 10.181 
0.00000 8.381 9.017 9.561 10.004 10.167 10.167 10.167 10.167 10.167 
0.00000 8.367 9.003 9.547 9.991 10.153 10.153 10.153 10.153 10.153 
0.00000 8.353 8.990 9.534 9.977 10.140 10.140 10.140 10.140 10.140 
0.00000 8.340 8.977 9.522 9.965 10.128 10.128 10.128 10.128 10.128 
0.00000 8.328 8.965 9.509 9.953 10.116 10.116 10.116 10.116 10.116 
0.00000 8.316 8.953 9.498 9.941 10.104 10.104 10.104 10.104 10.104 
0.00000 8.304 8.941 9.487 9.930 10.093 10.093 10.093 10.093 10.093 
0.00000 8.293 8.930 9.476 9.919 10.082 10.082 10.082 10.082 10.082 
0.00000 8.282 8.920 9.465 9.909 10.072 10.072 10.072 10.072 10.072 
0.00000 8.272 8.910 9.455 9.899 10.062 10.062 10.062 10.062 10.062 
0.00000 8.262 8.900 9.445 9.889 10.052 10.052 10.052 10.052 10.052 
0.00000 8.252 8.890 9.436 9.879 10.042 10.042 10.042 10.042 10.042 
0.00000 8.242 8.881 9.426 9.870 10.033 10.033 10.033 10.033 10.033 
0.00000 8.233 8.871 9.417 9.861 10.024 10.024 10.024 10.024 10.024 
0.00000 8.224 8.863 9.409 9.853 10.016 10.016 10.016 10.016 10.016 
0.00000 8.215 8.854 9.400 9.844 10.007 10.007 10.007 10.007 10.007 
0.00000 8.207 8.846 9.392 9.836 9.999 9.999 9.999 9.999 9.999 
0.00000 8.199 8.837 9.384 9.828 9.991 9.991 9.991 9.991 9.991 
0.00000 8.190 8.829 9.376 9.820 9.983 9.983 9.983 9.983 9.983 
0.00000 8.183 8.822 9.368 9.812 9.975 9.975 9.975 9.975 9.975 
0.00000 8.175 8.814 9.360 9.805 9.968 9.968 9.968 9.968 9.968 
0.00000 8.167 8.807 9.353 9.797 9.960 9.960 9.960 9.960 9.960 
0.00000 8.160 8.799 9.346 9.790 9.953 9.953 9.953 9.953 9.953 
0.00000 8.153 8.792 9.339 9.783 9.946 9.946 9.946 9.946 9.946 
0.00000 8.146 8.785 9.332 9.776 9.939 9.939 9.939 9.939 9.939 
0.00000 8.139 8.778 9.325 9.770 9.933 9.933 9.933 9.933 9.933 
0.00000 8.132 8.772 9.318 9.763 9.926 9.926 9.926 9.926 9.926 
0.00000 8.125 8.765 9.312 9.757 9.920 9.920 9.920 9.920 9.920 
0.00000 8.119 8.759 9.305 9.750 9.913 9.913 9.913 9.913 9.913 
0.00000 8.112 8.752 9.299 9.744 9.907 9.907 9.907 9.907 9.907 
0.00000 8.106 8.746 9.293 9.738 9.901 9.901 9.901 9.901 9.901 
0.00000 8.100 8.740 9.287 9.732 9.895 9.895 9.895 9.895 9.895 
0.00000 8.094 8.734 9.281 9.726 9.889 9.889 9.889 9.889 9.889 
0.00000 8.088 8.728 9.275 9.720 9.883 9.883 9.883 9.883 9.883 
0.00000 8.082 8.722 9.269 9.714 9.877 9.877 9.877 9.877 9.877 
