# t[days] g-band  r-band i-band  z-band  w-band
0.47500 -7.850 -9.424 -10.506 -11.062 -11.404 
0.72500 -8.142 -10.090 -11.504 -12.058 -12.753 
0.97500 -7.610 -9.977 -11.722 -12.308 -13.110 
1.22500 -7.399 -9.929 -11.758 -12.455 -13.158 
1.47500 -7.060 -9.726 -11.634 -12.443 -13.134 
1.72500 -7.059 -9.569 -11.514 -12.512 -12.992 
1.97500 -7.231 -9.573 -11.494 -12.356 -12.878 
2.22500 -6.755 -9.508 -11.277 -12.303 -12.757 
2.47500 -6.928 -9.467 -11.155 -12.186 -12.683 
2.72500 -6.899 -9.368 -10.998 -12.002 -12.501 
2.97500 -6.900 -9.205 -10.836 -11.896 -12.321 
3.22500 -6.865 -9.098 -10.667 -11.688 -12.126 
3.47500 -6.756 -9.071 -10.617 -11.558 -11.972 
3.72500 -6.706 -8.976 -10.443 -11.414 -11.872 
3.97500 -6.795 -8.928 -10.335 -11.243 -11.630 
4.22500 -6.805 -8.833 -10.233 -11.022 -11.413 
4.47500 -6.799 -8.809 -10.050 -10.867 -11.253 
4.72500 -6.724 -8.657 -9.967 -10.733 -10.996 
4.97500 -6.805 -8.685 -9.844 -10.528 -10.904 
5.22500 -6.676 -8.540 -9.772 -10.446 -10.645 
5.47500 -6.637 -8.490 -9.727 -10.266 -10.503 
5.72500 -6.697 -8.458 -9.632 -10.180 -10.330 
5.97500 -6.724 -8.482 -9.562 -10.002 -10.151 
6.22500 -6.596 -8.449 -9.494 -9.955 -10.012 
6.47500 -6.660 -8.357 -9.391 -9.800 -9.813 
6.72500 -6.568 -8.334 -9.303 -9.706 -9.720 
6.97500 -6.667 -8.305 -9.269 -9.612 -9.685 
7.22500 -6.587 -8.287 -9.202 -9.569 -9.407 
7.47500 -6.596 -8.208 -9.147 -9.472 -9.306 
7.72500 -6.618 -8.240 -9.120 -9.396 -9.289 
7.97500 -6.538 -8.208 -8.972 -9.296 -9.112 
8.22500 -6.559 -8.262 -9.013 -9.278 -9.116 
8.47500 -6.556 -8.209 -8.856 -9.191 -8.976 
8.72500 -6.481 -8.177 -8.886 -9.050 -8.868 
